"BUSI_DT","Prefixed_Name","Full_Name","First_Name","Surname","Bank_Name","Position"
"2026-01-15","Mr.","นายโนริอากิ โกโตะ","โนริอากิ","โกโตะ","ธนาคารกรุงศรีอยุธยา","ประธานกรรมการ / กรรมการอิสระ"
"2026-01-15","Dr.","ดร.จำลอง อติกุล","จำลอง","อติกุล","ธนาคารกรุงศรีอยุธยา","รองประธานกรรมการ / กรรมการอิสระ / ประธานกรรมการสรรหาและพิจารณาค่าตอบแทน / กรรมการตรวจสอบ"
"2026-01-15","Mrs.","นางทองอุไร ลิ้มปิติ","ทองอุไร","ลิ้มปิติ","ธนาคารกรุงศรีอยุธยา","กรรมการอิสระ / ประธานกรรมการตรวจสอบ"
"2026-01-15","Mr.","นายเคนอิจิ ยามาโตะ","เคนอิจิ","ยามาโตะ","ธนาคารกรุงศรีอยุธยา","กรรมการอิสระ / ประธานกรรมการตรวจสอบ"
"2026-01-15","Mr.","นายวิรัฐ วัฒนพงษ์","วิรัฐ","วัฒนพงษ์","ธนาคารกรุงศรีอยุธยา","กรรมการที่ไม่เป็นผู้บริหาร / ประธานกรรมการกำกับนโยบายความเสี่ยงและธรรมาภิบาล"
"2026-01-15","Mr.","นายจิโระ โอโมริ","จิโระ","โอโมริ","ธนาคารกรุงศรีอยุธยา","กรรมการที่ไม่เป็นผู้บริหาร / กรรมการกำกับนโยบายความเสี่ยงและธรรมาภิบาล"
"2026-01-15","Mr.","นายมาซาโทชิ โคโมริยะ","มาซาโทชิ","โคโมริยะ","ธนาคารกรุงศรีอยุธยา","กรรมการที่ไม่เป็นผู้บริหาร (ผู้มีอำนาจลงนาม)* / กรรมการสรรหาและพิจารณาค่าตอบแทน"
"2026-01-15","Mr.","นายพรสนอง ตู้จินดา","พรสนอง","ตู้จินดา","ธนาคารกรุงศรีอยุธยา","กรรมการที่ไม่เป็นผู้บริหาร / กรรมการกำกับนโยบายความเสี่ยงและธรรมาภิบาล"
"2026-01-15","Mr.","นายทินวรรธน์ มหธราดล","ทินวรรธน์","มหธราดล","ธนาคารกรุงศรีอยุธยา","กรรมการที่ไม่เป็นผู้บริหาร (ผู้มีอำนาจลงนาม)* / กรรมการสรรหาและพิจารณาค่าตอบแทน"
"2026-01-15","Dr.","ดร.วิทยา วัชระวิทยากุล","วิทยา","วัชระวิทยากุล","ธนาคารกรุงศรีอยุธยา","กรรมการอิสระ / กรรมการตรวจสอบ"
"2026-01-15","Mr.","นายวิรัช ไพรัชพิบูลย์","วิรัช","ไพรัชพิบูลย์","ธนาคารกรุงศรีอยุธยา","กรรมการอิสระ / กรรมการตรวจสอบ"
"2026-01-15","Ms.","นางสาวดวงดาว วงค์พนิตกฤต","ดวงดาว","วงค์พนิตกฤต","ธนาคารกรุงศรีอยุธยา","กฎบัตรคณะกรรมการธนาคาร PDF"
"2026-01-15","Dr.","ดร.ศักดา ธนิตกุล","ศักดา","ธนิตกุล","ธนาคารกรุงศรีอยุธยา","กรรมการอิสระ / กรรมการตรวจสอบ"
"Source_URL:","https://www.krungsri.com/th/about-krungsri/about-us/organization-chart/board-of-directors","","","","",""
